序号    学号           情感词      文档编号            极性    所在上下文                                                                           置信度      
340     1140332052     碰到        53.txt              pos     大家碰到过这个问题吗                                                                  1          
341     1140332052     车照        53.txt              pos     附爱车照一张                                                                          1          
342     1140332052     不理        55.txt              pos     山东滨州无棣4s价格高态度差还不送平板看了半个月的polo去买的时候4s店的销售人员跟没吃饭没 1          
343     1140332052     爱搭        55.txt              pos     山东滨州无棣4s价格高态度差还不送平板看了半个月的polo去买的时候4s店的销售人员跟没吃饭没 1          
344     1140332052     睡醒        55.txt              pos     山东滨州无棣4s价格高态度差还不送平板看了半个月的polo去买的时候4s店的销售人员跟没吃饭没 1          
345     1140332052     瑞纳        55.txt              pos     69手动风尚不送平板本来想买两台车的结果是真没心情买了果断擦肩88最后订了两辆瑞纳        1          
346     1140332052     果断        55.txt              pos     69手动风尚不送平板本来想买两台车的结果是真没心情买了果断擦肩88最后订了两辆瑞纳        1          
347     1140332052     心情        55.txt              pos     69手动风尚不送平板本来想买两台车的结果是真没心情买了果断擦肩88最后订了两辆瑞纳        1          
348     1140332052     哥们        57.txt              pos     还真出现有的哥们说的玻璃晃荡的情况                                                    1          
349     1140332052     松动        57.txt              pos     晃荡玻璃有明显的松动                                                                  1          
350     1140332052     晃荡        57.txt              pos     晃荡玻璃有明显的松动                                                                  1          
351     1140332052     含糊        57.txt              neg     我见另一个车主发的帖子大家跟当事者回答的很含糊                                        1          
352     1140332052     当事者      57.txt              neg     我见另一个车主发的帖子大家跟当事者回答的很含糊                                        1          
353     1140332052     大虾        6.txt               pos     各位大虾                                                                              1          
354     1140332052     定的        60.txt              pos     今天下午将原来定的逸致改买了凯美瑞2                                                   1          
355     1140332052     较大        60.txt              pos     声音一会儿较大                                                                        1          
356     1140332052     过          60.txt              pos     但速度过了80后                                                                        1          
357     1140332052     平顺        60.txt              pos     换档平顺                                                                              1          
358     1140332052     感谢        60.txt              pos     最后要特别感谢一下瑞丰4s销售戎玉小姐                                                  1          
359     1140332052     烂路        61.txt              pos     驾驶感变差今天走了一段烂路                                                            1          
360     1140332052     模糊        61.txt              neg     之后老感觉方向盘指向模糊                                                              1          
361     1140332052     游离        61.txt              pos     就感觉方向盘游离缝隙大了                                                              1          
362     1140332052     蒙          62.txt              pos     新蒙2                                                                                 1          
363     1140332052     能干        62.txt              pos     8秒能干什么                                                                           1          
364     1140332052     工夫        62.txt              pos     一眨眼的工夫而已                                                                      1          
365     1140332052     方便        63.txt              pos     安装后使用倒是很方便                                                                  1          
366     1140332052     不幸        63.txt              neg     不幸的是昨天偶然发现                                                                  1          
367     1140332052     考          63.txt              neg     考                                                                                    1          
368     1140332052     装了        63.txt              neg     不装了                                                                                1          
369     1140332052     回家        63.txt              neg     回家                                                                                  1          
370     1140332052     郁闷        63.txt              neg     郁闷啊                                                                                1          
371     1140332052     市          63.txt              pos     我的车是全市新嘉年华第二个安装路畅的                                                  1          
372     1140332052     路畅        63.txt              pos     并告知我是第一个路畅品牌倒车影像出问题的                                              1          
373     1140332052     敬请        63.txt              pos     敬请告知                                                                              1          
374     1140332052     死扛        64.txt              pos     之前还在死扛的价格终于有了些许松动                                                    1          
375     1140332052     定了        64.txt              pos     决定还是定了吧                                                                        1          
376     1140332052     容易        64.txt              pos     想要多优惠点更不容易                                                                  1          
377     1140332052     厢          64.txt              pos     三厢                                                                                  1          
378     1140332052     邻居        65.txt              pos     邻居说的菲翔其他都满意                                                                1          
379     1140332052     广大        65.txt              pos     求广大车友证实他提车半年了                                                            1          
380     1140332052     制冷        65.txt              neg     唯一的感觉觉得空调制冷不够好                                                          1          
381     1140332052     指示        65.txt              pos     说出来给我们这些准车友一个指示撒                                                      1          
382     1140332052     准车友      65.txt              neg     说出来给我们这些准车友一个指示撒                                                      1          
383     1140332052     砍价        65.txt              pos     约到一起好砍价                                                                        1          
384     1140332052     着看        67.txt              pos     你们就将就着看                                                                        1          
385     1140332052     添          67.txt              pos     添了点钱换二手18寸脚了                                                                1          
386     1140332052     风尚        68.txt              pos     问一下纠结过指南者和翼虎的通知今天看了现车翼虎16风尚和24炫黑                          1          
387     1140332052     虎          68.txt              pos     坐里边翼虎比指南者舒服                                                                1          
388     1140332052     越野        68.txt              pos     越野就肯定指南者好                                                                    1          
389     1140332052     粗大        69.txt              pos     粗大事了                                                                              1          
390     1140332052     差劲        69.txt              neg     外观景逸的顶是弯的老不适应和悦的好些先上图做工和悦rs的做工实在差劲                    1          
391     1140332052     先          69.txt              pos     外观景逸的顶是弯的老不适应和悦的好些先上图做工和悦rs的做工实在差劲                    1          
392     1140332052     老          69.txt              neg     外观景逸的顶是弯的老不适应和悦的好些先上图做工和悦rs的做工实在差劲                    1          
393     1140332052     弯          69.txt              pos     外观景逸的顶是弯的老不适应和悦的好些先上图做工和悦rs的做工实在差劲                    1          
394     1140332052     顶          69.txt              pos     外观景逸的顶是弯的老不适应和悦的好些先上图做工和悦rs的做工实在差劲                    1          
395     1140332052     关键        69.txt              pos     东风的要好的多了关键是和悦rs有生锈的我靠内饰[本帖最后由aaaacn于2013-06-3023:10:38编辑] 1          
396     1140332052     噪音        7.txt               neg     我已经忍受不了老p7那个噪音了                                                          1          
397     1140332052     忍受        7.txt               neg     请大家给我选胎我已经忍受不了老p7那个噪音了                                            1          
398     1140332052     请用        7.txt               pos     想换舒适静音请用过或者有经验的朋友们给我出点主意                                      1          
399     1140332052     数          70.txt              pos     谢谢我的车子公里数显示增加一公里的时候                                                1          
400     1140332052     保护        71.txt              pos     金科铃木sx4专用塑钢下护板安装作业发动机下护板很好的保护了重要部件                     1          
401     1140332052     专用        71.txt              neg     金科铃木sx4专用塑钢下护板安装作业发动机下护板很好的保护了重要部件                     1          
402     1140332052     最低        72.txt              pos     最低多少钱啊                                                                          1          
403     1140332052     柴油车      73.txt              pos     3跑了二百公里回来车速110开空调到家时好像是柴油车的声音                                1          
404     1140332052     净          74.txt              neg     首先在汽车之间看到现在全国活动净车价是56700                                           1          
405     1140332052     国          74.txt              neg     首先在汽车之间看到现在全国活动净车价是56700                                           1          
406     1140332052     奥拓        74.txt              pos     之前试过奥拓                                                                          1          
407     1140332052     礼          74.txt              pos     然后他说可以减去3000礼包68800给我                                                     1          
408     1140332052     贷款        74.txt              pos     另外贷款的手续费3000元                                                                1          
409     1140332052     拆下来      74.txt              neg     还说门口挂着的56700元活动的横幅是他们没有时间所以还没有拆下来                         1          
410     1140332052     活动        74.txt              neg     还说门口挂着的56700元活动的横幅是他们没有时间所以还没有拆下来                         1          
411     1140332052     门口        74.txt              neg     还说门口挂着的56700元活动的横幅是他们没有时间所以还没有拆下来                         1          
412     1140332052     车商        74.txt              pos     我觉得这样的车商真的在欺骗消费者                                                      1          
413     1140332052     说好        74.txt              pos     说好的优惠呢                                                                          1          
414     1140332052     假          74.txt              neg     只是拿着这些假消息骗我们去看车吗                                                      1          
415     1140332052     睿翼        75.txt              neg     睿翼的后备箱锁坏了前两天上海下雨                                                      1          
416     1140332052     导致        75.txt              neg     导致后备箱锁坏了                                                                      1          
417     1140332052     还在        75.txt              neg     幸好还在保内                                                                          1          
418     1140332052     不用        76.txt              pos     基本放在库里不用                                                                      1          
419     1140332052     贵宾        76.txt              pos     来了贵宾才拿出来用一下                                                                1          
420     1140332052     晕菜        76.txt              neg     晕菜了                                                                                1          
421     1140332052     注意        76.txt              pos     请大侠们给我出个注意                                                                  1          
422     1140332052     严密        76.txt              pos     我那球头等件都很严密的                                                                1          
423     1140332052     头等        76.txt              pos     我那球头等件都很严密的                                                                1          
424     1140332052     行吗        76.txt              neg     单换方向机不行吗                                                                      1          
425     1140332052     舍得        77.txt              pos     还有右轮球套要260不舍得换                                                             1          
426     1140332052     异常        78.txt              neg     前两天发现导航信号异常                                                                1          
427     1140332052     正常        78.txt              pos     之前很正常                                                                            1          
428     1140332052     最好        79.txt              pos     k5dlx价格最近想买辆k5'谁知道dlx最低优惠多少最好嘉兴价格                               1          
429     1140332052     '           79.txt              pos     k5dlx价格最近想买辆k5'谁知道dlx最低优惠多少最好嘉兴价格                               1          
430     1140332052     高度        8.txt               pos     6at风尚型《车主点评》】：车主对新福克斯的外形、内饰、舒适度以及安全配置表示高度赞扬   1          
431     1140332052     风          8.txt               pos     6at风尚型《车主点评》】：车主对新福克斯的外形、内饰、舒适度以及安全配置表示高度赞扬   1          
432     1140332052     够用        8.txt               neg     动力仅仅够用                                                                          1          
433     1140332052     南芷荷      8.txt               neg     油耗相比同级车不低…迎南芷荷：【福克斯2012款两厢1                                     1          
434     1140332052     底盘        81.txt              pos     最低配自动挡的价格优惠18000+3000节能补贴~~~全办下来112000（送底盘装甲、发动机护甲、封釉 1          
435     1140332052     节能        81.txt              pos     最低配自动挡的价格优惠18000+3000节能补贴~~~全办下来112000（送底盘装甲、发动机护甲、封釉 1          
436     1140332052     配          81.txt              pos     最低配自动挡的价格优惠18000+3000节能补贴~~~全办下来112000（送底盘装甲、发动机护甲、封釉 1          
437     1140332052     安全        82.txt              pos     想车启动后就把所有的门都锁上这样更安全                                                1          
438     1140332052     落地        83.txt              pos     跪求广东珠三角地区各4s经典轩逸自动舒适版价格请问各位大虾广东珠三角几个城市经典轩逸自动 1          
439     1140332052     城市        83.txt              pos     跪求广东珠三角地区各4s经典轩逸自动舒适版价格请问各位大虾广东珠三角几个城市经典轩逸自动 1          
440     1140332052     风口        85.txt              pos     可以关了前窗下的出风口                                                                1          
441     1140332052     内外        85.txt              neg     我也知道是内外温差大                                                                  1          
442     1140332052     冷气        85.txt              pos     但那个出风口只要是出冷气就直接打在窗上                                                1          
443     1140332052     修长        86.txt              pos     为了搭配修长的车身                                                                    1          
444     1140332052     吋          86.txt              pos     进口昊锐旅行版选择了17吋多辐条样式                                                    1          
445     1140332052     选择        86.txt              pos     进口昊锐旅行版选择了17吋多辐条样式                                                    1          
446     1140332052     明白        86.txt              pos     看过我之前写过的昊锐换胎测试就明白了                                                  1          
447     1140332052     写          86.txt              pos     看过我之前写过的昊锐换胎测试就明白了                                                  1          
448     1140332052     宽          86.txt              pos     还很多朋友问225mm宽的轮胎配昊锐合适么                                                 1          
449     1140332052     看吧        86.txt              pos     往后看吧                                                                              1          
450     1140332052     常规        87.txt              pos     打八折1、常规保养+更换制动液+更换火花塞+空调养护：648                                 1          
451     1140332052     卷          87.txt              pos     介绍我弟买昊锐抵用卷500                                                               1          
452     1140332052     坑爹        87.txt              pos     依然是坑爹的25                                                                        1          
453     1140332052     腐蚀        87.txt              pos     我的电瓶负极腐蚀                                                                      1          
454     1140332052     瞬时        87.txt              pos     现在n档瞬时油耗0                                                                      1          
455     1140332052     晶锐        88.txt              neg     帮忙推荐下我的晶锐是1                                                                 1          
456     1140332052     晶享        88.txt              neg     6晶享                                                                                 1          
457     1140332052     钉子        88.txt              neg     有的胎被钉子扎过                                                                      1          
458     1140332052     收音机      89.txt              pos     关于小柯的收音机请教各位柯友                                                          1          
459     1140332052     杂音        89.txt              pos     就在本地都杂音很大                                                                    1          
460     1140332052     本地        89.txt              pos     就在本地都杂音很大                                                                    1          
461     1140332052     长途        9.txt               neg     最近跑了几次长途出现变速箱过热的警示                                                  1          
462     1140332052     木          9.txt               neg     有木有同样问题的求详解                                                                1          
463     1140332052     黑色        91.txt              neg     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 1          
464     1140332052     金属漆      91.txt              neg     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 1          
465     1140332052     白          91.txt              neg     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 1          
466     1140332052     珍珠        91.txt              neg     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 1          
467     1140332052     定          91.txt              pos     关于科鲁兹颜色问题本人定了科鲁兹但颜色还没有选喜欢白色但不是金属漆但又听说是珍珠白珍珠 1          
468     1140332052     断开        92.txt              pos     就很快断开了                                                                          1          
469     1140332052     吸合        92.txt              pos     然后又吸合                                                                            1          
470     1140332052     小康        92.txt              pos     我的小康有碳罐吗                                                                      1          
471     1140332052     造型        92.txt              pos     我太喜欢富康的线条和造型了                                                            1          
472     1140332052     线条        92.txt              pos     我太喜欢富康的线条和造型了                                                            1          
473     1140332052     操控        92.txt              pos     买了之后才发现操控是那么好                                                            1          
474     1140332052     轴距        92.txt              pos     捷达的轴距太小了                                                                      1          
475     1140332052     甲醇        92.txt              pos     我改了甲醇了                                                                          1          
476     1140332052     好听        92.txt              pos     发动机声音低沉好听了许多                                                              1          
477     1140332052     控制器      92.txt              pos     我这个控制器是自动的                                                                  1          
478     1140332052     赐教        92.txt              pos     麻烦高手把我这两个问题给赐教下                                                        1          
479     1140332052     约          93.txt              pos     今天约了去4s店做出保前的检查                                                          1          
480     1140332052     标明        93.txt              pos     看看有没有什么问题在保修范围内的需要维修的~维修顾问在检查前告诉我满两年需要换制动液和刹 1          
481     1140332052     只开了      93.txt              pos     只开了18000公里就需要换刹车片么                                                       1          
482     1140332052     不可思议    93.txt              pos     虽然觉得有点不可思议但还是换了                                                        1          
483     1140332052     意思        93.txt              neg     也没有指责4s店的意思                                                                  1          
484     1140332052     重          93.txt              pos     车又重                                                                                1          
485     1140332052     磨损        93.txt              neg     所以刹车片比较容易磨损                                                                1          
486     1140332052     短          93.txt              pos     有点短吧                                                                              1          
487     1140332052     出门        94.txt              neg     今天出门着车一分钟左右走的时候发现地下有两滩水                                        1          
488     1140332052     吹          94.txt              pos     觉得是水）也没开空调就着车的时候开了一下自然风吹了吹                                  1          
489     1140332052     风吹        94.txt              pos     觉得是水）也没开空调就着车的时候开了一下自然风吹了吹                                  1          
490     1140332052     进水        94.txt              pos     百度一下有说是后备箱进水了漏的                                                        1          
491     1140332052     说是        94.txt              pos     百度一下有说是后备箱进水了漏的                                                        1          
492     1140332052     位置        94.txt              pos     还有说下雨后水顺着后备箱外面流到底盘那个位置流出的（个人最希望是这个结果）            1          
493     1140332052     大侠        94.txt              pos     请教各位大侠                                                                          1          
494     1140332052     送命        95.txt              pos     前几天发帖新车被撞差点送命                                                            1          
495     1140332052     救          95.txt              pos     原来是车门防撞杆救了我当汽车受到侧面撞击时                                            1          
496     1140332052     坚固        95.txt              pos     不少汽车公司就在汽车两侧门夹层中间放置一两根非常坚固的钢梁                            1          
497     1140332052     防撞        95.txt              pos     防撞杆的防撞作用是：当侧门受到撞击时                                                  1          
498     1140332052     变形        95.txt              pos     坚固的防撞杆能大大减轻侧门的变形程度                                                  1          
499     1140332052     侧门        95.txt              pos     坚固的防撞杆能大大减轻侧门的变形程度                                                  1          
500     1140332052     gdlguo      95.txt              pos     同事建议后来购买v5者还是选择自动豪华的吧[本帖最后由gdlguo于2013-06-3023:11:13编辑]    1          
501     1140332052     者          95.txt              pos     同事建议后来购买v5者还是选择自动豪华的吧[本帖最后由gdlguo于2013-06-3023:11:13编辑]    1          
502     1140332052     运营商      96.txt              pos     许多消费者对手机维修期间还要向运营商付费表示不满                                      1          
503     1140332052     合理        96.txt              pos     认为很不合理                                                                          1          
504     1140332052     合格        96.txt              pos     专家提醒：商家以送话费等套餐活动捆绑销售手机也应视作合格商品                          1          
505     1140332052     送话费      96.txt              neg     专家提醒：商家以送话费等套餐活动捆绑销售手机也应视作合格商品                          1          
506     1140332052     保修卡      96.txt              pos     应单开手机发票和保修卡                                                                1          
507     1140332052     相同        96.txt              pos     赠予人在附义务的限度内承担与出卖人相同的责任                                          1          
508     1140332052     限度        96.txt              pos     赠予人在附义务的限度内承担与出卖人相同的责任                                          1          
509     1140332052     附          96.txt              pos     赠予人在附义务的限度内承担与出卖人相同的责任                                          1          
510     1140332052     及时        96.txt              neg     售后服务不及时                                                                        1          
511     1140332052     良好        96.txt              pos     国家标准规定良好运行的外机环境温度是5摄氏度以上                                       1          
512     1140332052     寒冷        97.txt              neg     故在寒冷天气下                                                                        1          
513     1140332052     故在        97.txt              neg     故在寒冷天气下                                                                        1          
514     1140332052     明确        97.txt              pos     家具存在问题：订购合同上对材质没有明确                                                1          
515     1140332052     湿度        97.txt              pos     而且甲醛释放与环境温度、湿度和室内空气交换率有关                                      1          
516     1140332052     流通        98.txt              pos     以加快新鲜空气的流通                                                                  1          
517     1140332052     新鲜        98.txt              pos     以加快新鲜空气的流通                                                                  1          
518     1140332052     商场        98.txt              pos     消费者在选购家具时应到正规的商场购买                                                  1          
519     1140332052     心眼        98.txt              neg     且购买时要多长一个心眼                                                                1          
520     1140332052     强制性      98.txt              neg     去年10月1日起实施的国家最新强制性标准明文规定                                         1          
521     1140332052     最新        98.txt              pos     去年10月1日起实施的国家最新强制性标准明文规定                                         1          
522     1140332052     辨认        98.txt              pos     消费者在购买家具时应对《产品说明书》进行仔细辨认                                      1          
523     1140332052     取样        98.txt              neg     消费疑问：对疑甲醛超标的家具应当怎样取样进行检测                                      1          
524     1140332052     超标        98.txt              neg     消费疑问：对疑甲醛超标的家具应当怎样取样进行检测                                      1          
525     1140332052     破坏性      98.txt              neg     能采用的几种检测方式都存在对样品的破坏性                                              1          
526     1140332052     样品        98.txt              neg     能采用的几种检测方式都存在对样品的破坏性                                              1          
527     1140332052     检验        99.txt              pos     上海产品质量检验所目前已将轮胎和玻璃产品的检验列入计划                                1          
528     1140332052     组织        99.txt              pos     并正在组织实施                                                                        1          
529     1140332052     修店        99.txt              pos     不要图价格便宜光顾路边快修店                                                          1          
530     1140332052     跑          10.txt              pos     4v凯美瑞一箱油为何才跑400公里                                                         0.93       
531     1140332052     动力        14.txt              pos     不少cvt变速箱在动力接合的初段会发生打滑                                               0.91       
532     1140332052     玻璃        57.txt              pos     新桑的车主们你们的玻璃晃荡吗                                                          0.89       
533     1140332052     做          14.txt              pos     有专业技术人员做过这样的破坏性试验也没什么事                                          0.88       
534     1140332052     cvt         14.txt              pos     由于cvt的结构和工作原理                                                               0.88       
535     1140332052     循环        19.txt              pos     要从外循环和内循环的进气口注入泡沫清洁剂                                              0.88       
536     1140332052     转          4.txt               pos     转了一大圈                                                                            0.88       
537     1140332052     应该        51.txt              pos     作为工作人员也不应该默认这件事吧                                                      0.88       
538     1140332052     保          6.txt               neg     2保是处理                                                                             0.88       
539     1140332052     包          74.txt              pos     然后销售说现在我们的包牌价是72000                                                     0.88       
540     1140332052     车主        14.txt              pos     如果车主想加速快的话就以cvt变速箱的自动模式加速                                       0.86       
541     1140332052     轩逸        15.txt              pos     今天提了轩逸1                                                                         0.86       
542     1140332052     得          2.txt               pos     他就得需要用2500转换挡才能跟上我                                                      0.86       
543     1140332052     菱悦        21.txt              neg     v3菱悦的用车成本会便宜小一百块钱（125-40=85元）                                       0.86       
544     1140332052     看看        26.txt              pos     价格会便宜些~请大家帮我看看                                                           0.86       
545     1140332052     结果        37.txt              pos     结果3个超速                                                                           0.86       
546     1140332052     加速        14.txt              pos     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              0.85       
547     1140332052     车身        1.txt               pos     只是车身的倾斜度有点大                                                                0.83       
548     1140332052     白色        3.txt               pos     白色的非常干净                                                                        0.83       
549     1140332052     换了        7.txt               pos     请大家给我选胎车子是高尔夫换了17的轮毂轮胎自然是2254517换轮毂的时候作业没做足兴致冲冲跑 0.83       
550     1140332052     可          85.txt              pos     可问题是                                                                              0.83       
551     1140332052     刹车片      93.txt              pos     没想到检查了一个小时后告知我四个刹车片都要换了                                        0.83       
552     1140332052     换挡        2.txt               pos     我每次都2500-3500转换挡才跟上                                                         0.82       
553     1140332052     慢          12.txt              pos     速度慢悠悠的飘到120左右                                                               0.8        
554     1140332052     打开        22.txt              pos     如果完全打开                                                                          0.8        
555     1140332052     l           29.txt              neg     有好多l车友都把他关了                                                                 0.8        
556     1140332052     配置        39.txt              pos     实用的配置                                                                            0.8        
557     1140332052     加          42.txt              pos     我加了97之后动力没感觉有什么进步但是提速反而不均匀了、总体觉得还不如93#               0.8        
558     1140332052     效果        43.txt              pos     有时间我再拍点晚上的效果                                                              0.8        
559     1140332052     行车        46.txt              pos     12款307行车电脑问题                                                                   0.8        
560     1140332052     师傅        63.txt              neg     店里告知必须是厂家来的师傅来能修理                                                    0.8        
561     1140332052     轮毂        67.txt              pos     洗车行说他们有个xj客户寄卖的原厂18寸轮毂加轮胎                                        0.8        
562     1140332052     牌          74.txt              pos     上个牌要这么贵吗                                                                      0.8        
563     1140332052     米          83.txt              pos     多了米不够                                                                            0.8        
564     1140332052     感觉        1.txt               pos     只是感觉座椅有点高                                                                    0.77       
565     1140332052     多          11.txt              pos     加了导航和皮座椅如果北京便宜的多就去北京买了谢谢各位                                  0.77       
566     1140332052     车子        14.txt              pos     虽然车子是停的                                                                        0.77       
567     1140332052     价格        11.txt              pos     还有目前北京的价格是多少小妹我人在天津                                                0.77       
568     1140332052     觉得        2.txt               pos     我开始也是这么觉得                                                                    0.76       
569     1140332052     看          1.txt               pos     这样看                                                                                0.75       
570     1140332052     座椅        1.txt               pos     只是感觉座椅有点高                                                                    0.75       
571     1140332052     适合        1.txt               pos     总的来说呢c30比较适合在市区跑                                                         0.75       
572     1140332052     请          10.txt              pos     请各位高人指点为何这款车耗油这么大                                                    0.75       
573     1140332052     电脑        100.txt             pos     专家提醒：国家对电脑的硬盘、内存条等都明确实行三包                                    0.75       
574     1140332052     能          14.txt              pos     更不能拉到“p”档                                                                     0.75       
575     1140332052     保持        14.txt              pos     可以全程保持在发动机扭力输出最高的转速                                                0.75       
576     1140332052     提速        16.txt              pos     一档提速也行                                                                          0.75       
577     1140332052     搞          29.txt              pos     所以基本上倾家荡产搞了一辆a4l                                                         0.75       
578     1140332052     给          3.txt               pos     转起来动平衡还不给破坏了啊                                                            0.75       
579     1140332052     没有        33.txt              pos     柚子皮等等能用上的都用了一点用都没有                                                  0.75       
580     1140332052     保养        39.txt              pos     一点感受和19000公里第二次保养买车正好一年                                             0.75       
581     1140332052     锁上        45.txt              pos     至少顺利锁上了车门                                                                    0.75       
582     1140332052     坐          51.txt              pos     进去坐着就有人进来为你介绍这介绍那                                                    0.75       
583     1140332052     指南        68.txt              pos     问一下纠结过指南者和翼虎的通知今天看了现车翼虎16风尚和24炫黑                          0.75       
584     1140332052     挡          81.txt              pos     最低配自动挡的价格优惠18000+3000节能补贴~~~全办下来112000（送底盘装甲、发动机护甲、封釉 0.75       
585     1140332052     胎          88.txt              pos     有的胎被钉子扎过                                                                      0.75       
586     1140332052     水          94.txt              neg     今天出门着车一分钟左右走的时候发现地下有两滩水                                        0.75       
587     1140332052     购买        98.txt              pos     且购买时要多长一个心眼                                                                0.75       
588     1140332052     知道        1.txt               pos     不知道大家的c30动力性和舒适性如何啊                                                   0.73       
589     1140332052     刹车        14.txt              pos     在泥泞或湿滑路面：避免突然起步、加速、刹车、变道、急转弯                              0.73       
590     1140332052     人          1.txt               pos     看论坛上有人说c30的发动机比较肉                                                       0.73       
591     1140332052     情况        1.txt               pos     今天一试确实是这么个情况                                                              0.73       
592     1140332052     声音        13.txt              pos     而且油门踏板也会跟着这声音抖动                                                        0.73       
593     1140332052     提          15.txt              pos     今天提了轩逸1                                                                         0.73       
594     1140332052     送          26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      0.73       
595     1140332052     家具        98.txt              pos     消费疑问：对疑甲醛超标的家具应当怎样取样进行检测                                      0.73       
596     1140332052     c           1.txt               pos     总的来说呢c30比较适合在市区跑                                                         0.72       
597     1140332052     方向盘      1.txt               neg     掉头的时候感觉c30的方向盘还是很轻的                                                   0.71       
598     1140332052     发现        2.txt               pos     后来发现                                                                              0.71       
599     1140332052     东西        4.txt               pos     买一堆东西                                                                            0.71       
600     1140332052     电瓶        45.txt              pos     老板说十有八九电瓶坏了                                                                0.71       
601     1140332052     车展        51.txt              pos     说说车展的工作人员                                                                    0.71       
602     1140332052     发动机      1.txt               pos     看论坛上有人说c30的发动机比较肉                                                       0.71       
603     1140332052     事          14.txt              pos     有专业技术人员做过这样的破坏性试验也没什么事                                          0.7        
604     1140332052     使用        19.txt              pos     但是根据使用说明                                                                      0.7        
605     1140332052     速度        1.txt               pos     换到5挡将速度提到120感觉用的时间有点长                                                0.69       
606     1140332052     汽车        74.txt              pos     我拿出汽车之家发过来说有2000元改装的礼品送的信息                                      0.69       
607     1140332052     要          100.txt             pos     一定要向商家索要正规发票                                                              0.68       
608     1140332052     试          1.txt               pos     今天一试确实是这么个情况                                                              0.67       
609     1140332052     车          1.txt               pos     每款车都有各自的优势                                                                  0.67       
610     1140332052     反映        100.txt             neg     主要反映是经常会无缘无故出现死机                                                      0.67       
611     1140332052     还好        12.txt              pos     冷车刚启动的时候还好                                                                  0.67       
612     1140332052     启动        12.txt              pos     冷车刚启动的时候还好                                                                  0.67       
613     1140332052     应          14.txt              pos     南无阿弥陀佛正确使用cvt无级变速箱还应注意以下几点：1                                  0.67       
614     1140332052     阿弥陀佛    14.txt              pos     南无阿弥陀佛正确使用cvt无级变速箱还应注意以下几点：1                                  0.67       
615     1140332052     变速箱      14.txt              pos     虽然变速箱有自我保护功能                                                              0.67       
616     1140332052     现象        14.txt              neg     甚至会出现钢带打滑的现象                                                              0.67       
617     1140332052     燃油        14.txt              pos     从而提高燃油的经济性                                                                  0.67       
618     1140332052     听说        16.txt              neg     还有听说最近要升级                                                                    0.67       
619     1140332052     出去        2.txt               neg     上次跟朋友一起出去                                                                    0.67       
620     1140332052     到          2.txt               pos     结果到了他说你这起步还挺快                                                            0.67       
621     1140332052     心          21.txt              pos     一心只买v3菱悦车对比起打车的价格                                                      0.67       
622     1140332052     看来        21.txt              pos     这样看来                                                                              0.67       
623     1140332052     挡泥板      26.txt              pos     送了8样内饰（全车带侧面真皮、gps、防爆膜、挡泥板、脚垫、坐垫、后备箱垫、下护板）      0.67       
624     1140332052     意外        29.txt              neg     说实话比较让我意外                                                                    0.67       
625     1140332052     达到        29.txt              pos     油耗竟然破天荒的达到了5                                                               0.67       
626     1140332052     屌丝        29.txt              pos     但是对于我这种屌丝来说                                                                0.67       
627     1140332052     停          29.txt              pos     所以稍稍停了一会儿的发动机                                                            0.67       
628     1140332052     旁边        31.txt              pos     突然发现旁边放的暗红色的c260很好看啊                                                  0.67       
629     1140332052     解决        33.txt              pos     里面的刺鼻味道还有怎么解决                                                            0.67       
630     1140332052     感受        39.txt              pos     一点感受和19000公里第二次保养买车正好一年                                             0.67       
631     1140332052     换          39.txt              pos     第三次保养才换                                                                        0.67       
632     1140332052     进去        4.txt               pos     空调轻松就进去了                                                                      0.67       
633     1140332052     电          45.txt              pos     或者找别的车搭个电                                                                    0.67       
634     1140332052     着          45.txt              pos     今天早上一打就着                                                                      0.67       
635     1140332052     动          47.txt              pos     刹车踩到底车子应该立马原地不动吗                                                      0.67       
636     1140332052     图          49.txt              pos     有图求版主认证设精21号提的车                                                          0.67       
637     1140332052     劲          5.txt               pos     6t劲享的可以试驾                                                                      0.67       
638     1140332052     驾车        5.txt               pos     但要先看看试驾车                                                                      0.67       
639     1140332052     空间        5.txt               pos     而且空间也大                                                                          0.67       
640     1140332052     修          58.txt              neg     到4s店修了两次                                                                        0.67       
641     1140332052     坑          61.txt              pos     通过一个坑的时候打方向                                                                0.67       
642     1140332052     装修        64.txt              pos     要用在装修最多就是个号称原车的贴膜和挡泥板                                            0.67       
643     1140332052     不知道      68.txt              pos     但就是不知道四驱系统                                                                  0.67       
644     1140332052     球          76.txt              pos     我那球头等件都很严密的                                                                0.67       
645     1140332052     锁          82.txt              pos     但锁不上                                                                              0.67       
646     1140332052     不够        83.txt              pos     多了米不够                                                                            0.67       
